age,income,purchase_frequency,avg_order_value,customer_lifetime,total_spend,website_visits,email_open_rate,app_usage,electronics_spend_pct,clothing_spend_pct,home_spend_pct,summer_boost,holiday_boost,recency,segment
0.534709,-0.7882867,1.6598598,0.82302505,0.10928813,1.1773329,-1.8678873,0.29897586,-1.1932006,0.06590461,-0.837906,1.0718156,0.24589583,0.87881297,-0.35778797,-1
-0.052058913,-0.5145869,-0.86537164,-0.5321995,1.717044,0.47319892,0.1646259,1.3515403,-1.3690612,1.7801226,-1.4414357,0.0917551,-1.2237011,-0.23043251,2.3922408,-1
0.6637695,-0.65271354,0.56405365,0.5896969,-0.84784144,-0.76639694,-1.4488531,-1.0068997,0.9091503,-0.6346757,-0.5257416,0.9492248,0.3283792,0.34578237,0.196229,-1
1.595513,-0.17346413,0.28340188,-0.3636053,-0.85523385,-0.9060589,-0.7694516,0.0049305973,0.6250365,-0.47349322,0.6004571,-0.17932574,0.004035671,1.1729008,2.9271648,-1
1.8081237,1.2148477,-0.37050453,0.42221627,1.6203816,1.3789319,-0.8670446,1.9173065,-1.2576731,-0.050156876,-1.1875062,1.2596613,0.53254974,0.70292187,-1.0997097,-1
0.71453094,-0.54319096,2.1966279,-0.58294487,-1.2390515,-1.2339147,-0.14987954,-0.62284946,0.70609325,0.7221171,-0.5874817,-0.09463114,0.19528538,-0.17024185,-1.1079395,-1
-0.5661149,-1.0318706,-1.341484,-0.79077715,-1.0628773,-1.1291215,0.012270489,0.10772248,-1.2746677,-1.6946791,1.0376238,0.48723903,0.8334252,-1.1293808,-0.4865191,-1
0.5667317,0.868586,0.43596065,-0.7739347,2.574927,2.8936286,0.20951578,-0.29486594,-1.2049335,-0.95324934,-0.51698804,1.5785336,-0.6112507,-0.19895272,2.4579337,-1
-0.5414798,1.062893,2.4324698,0.08764456,-0.43689653,0.17422436,-0.58976185,-0.744727,0.76685196,1.1419348,-0.55171895,-0.34304956,0.22676621,1.9594492,-0.7732221,-1
-0.44142735,0.77133024,0.6920312,0.16713546,-0.27022675,-0.07248402,-0.91161376,1.9747868,0.8070088,0.1257238,0.8449584,-1.228358,-1.8411927,0.63465714,-0.26732445,-1
0.37113062,-1.2202052,-0.35406423,-0.99499255,0.119330645,-0.15328531,0.7594403,1.9316363,-1.038307,-0.92120445,1.3919444,-0.638059,0.6205975,0.07147174,-0.18205288,-1
-1.444382,-0.6209287,1.1571354,-0.14209108,0.89969426,2.054636,1.2977614,-0.9679899,-1.3197972,1.2612902,-0.41087943,-0.91556066,-0.6044963,0.91110325,-0.6310347,-1
-1.6614069,0.92625105,0.034344222,-1.0519072,0.60109794,0.13871063,1.0122383,0.66106963,0.81820333,1.4571167,-1.1333393,-0.4275946,-0.14731185,1.2687631,0.34246764,-1
-0.6270626,-0.051177572,0.047911633,-0.76678103,-0.40515956,-0.3526885,0.10308266,0.36566094,-1.2303073,-0.42494822,0.17481747,-0.07374252,0.77753943,-0.11266726,0.8530404,-1
-1.1247114,-1.1457492,-0.47666126,-0.59683925,1.0886531,0.502884,0.28660884,0.04193359,0.70806843,1.4095904,-0.7200931,-0.7812564,0.8361915,-0.045475762,0.023635088,-1
0.30024078,0.2396276,-0.37544715,-1.4229428,0.82728356,0.32041797,0.3986639,0.2600636,0.87476426,1.6164871,-2.1277425,0.76475024,0.68313557,0.6413845,1.3248357,-1
-0.8576705,-0.8213204,0.7070335,0.6873865,1.495078,2.9884474,1.3241284,0.36692387,0.86095214,-0.7936306,1.0206184,-0.74609864,1.709799,0.092030056,0.24477813,-1
1.6424981,2.202144,0.08601159,1.6133087,-1.0872732,-0.8383928,0.42607573,1.9354349,-1.3488346,-1.1723328,-0.7983122,2.4181428,-0.78085876,-0.045437884,0.93982744,-1
-0.29835424,0.46002272,-1.4766222,0.5702677,-1.1006597,-1.1328636,1.0676144,0.12052309,0.65033084,0.055232886,-1.1212236,1.2064466,-0.16343704,1.131214,0.4784622,-1
0.09128386,1.8519064,2.523396,-0.2791843,-0.07869817,1.274825,-0.80110765,1.2656131,0.7221814,-0.8435265,0.33840743,0.5520119,0.32874903,0.45368442,0.058422454,-1
-1.624193,-0.07535174,1.089962,0.48096505,-0.94733703,-0.50564593,1.0922362,0.1905198,0.64899415,0.023104709,-0.45466125,0.7402952,0.038592555,1.4997655,-0.9560375,-1
-0.737058,0.71509176,-0.3958778,-0.10752802,-0.88236976,-0.935714,-0.80489355,-0.8021313,-1.0837697,0.39925292,0.6544811,-1.1032447,-0.9895302,-0.30429825,-1.0452977,-1
-1.0999311,0.1422437,-0.8849219,0.6866646,1.8424895,0.5889396,1.1996127,-1.9737035,0.7280104,-1.4582852,0.8766523,0.502475,-1.6694936,-0.3479645,-0.7297985,-1
-0.6357247,-1.1791172,0.61631924,-0.53311014,-1.0592848,-0.98767143,0.22481206,-1.4441433,0.6775181,-0.6308344,0.13284332,0.24331878,-0.24236314,1.1850818,-1.1145222,-1
-0.3440737,-0.4755069,-0.7352824,0.36783326,-0.7763984,-0.8363005,0.48835748,-0.6131049,0.9372138,2.1653638,-1.6422737,-0.23066166,0.94635344,-0.13571857,0.75042385,-1
-0.69845074,1.1313399,1.9366859,-0.4492273,0.31884357,1.477712,0.11858252,-0.035562802,1.0275061,0.73854935,-0.73008835,0.08491202,1.4274119,-0.66127586,-1.1952592,-1
1.9380287,1.127472,-1.5634257,-0.10651087,0.34317124,-0.52059764,-0.30374342,1.0771271,0.8603275,-0.6394094,1.6659467,-1.249656,0.7810707,0.8234257,1.3326571,-1
-0.025754215,0.59450185,0.7166519,-0.6089558,0.40836146,0.85605246,2.4954147,-0.93785626,0.70609325,-0.18397069,1.2885662,-1.228251,-0.56742305,-1.8606334,-0.08033846,-1
-0.985644,-0.79765016,1.6048545,-1.1950433,1.4125042,2.6644762,-1.0027955,-0.19562845,-1.144476,0.10888817,0.3479233,-0.34907848,0.07536078,-1.5133312,-0.457838,-1
0.8747074,-1.1006678,-0.5151592,0.5374515,1.8264929,1.625628,-0.51976305,0.0577676,-1.1969265,-0.70679927,-0.2561086,0.7769614,-0.6913688,-0.39062744,-0.91961247,-1
0.22218719,-0.35662866,-0.515017,-0.12565245,-0.4258332,-0.38574243,-0.6314684,-0.8821204,0.7399058,1.0074468,0.28581595,-1.3293549,1.6421138,-0.9446145,0.74985194,-1
-1.5829043,-0.602438,-0.5652246,-1.1007415,2.2633338,1.2823693,1.0173484,-1.0792108,-1.120687,-0.42238474,-1.605854,2.4291627,0.5590087,1.1887273,-0.5834224,-1
-1.5882051,0.862449,-0.40698856,-0.03656209,0.16290347,0.19530682,0.09398625,-0.95279926,-1.2599962,-0.0038235977,-1.0531261,1.3511268,-0.18813239,-1.0864608,-1.0767338,-1
0.7003514,0.023506492,-0.6583837,-0.29379717,0.040837888,-0.501204,-0.5361455,-1.4304674,0.8661696,0.7449915,0.7196359,-1.5940725,0.65940046,0.20310922,-0.9336725,-1
0.06489171,-0.56369454,-1.3285217,0.14040987,-0.4232971,-0.88390607,-1.2715415,-0.6418222,0.7528678,0.3815077,0.8401275,-1.1401373,0.25758633,-1.034499,1.0806541,-1
0.048349902,-0.43410918,0.5396311,0.3981701,-1.0450337,-0.95193076,0.07989653,0.98256755,-1.1727756,-0.7326537,1.4340829,-0.6495011,-0.2891528,0.30540332,0.78220993,-1
-0.22124842,-0.12803099,-0.90286374,-0.47424358,-0.77876645,-0.8875516,1.6951025,-0.63558906,-1.1702963,0.07075971,0.09329926,0.05350845,0.05714264,2.0906863,-0.549457,-1
-1.5543473,-0.77933884,1.4495933,0.529776,0.651589,2.1310103,-0.14373524,-1.1460502,0.74615145,1.0852032,-1.8233219,1.1666925,-0.3732234,-0.97390455,-0.6596897,-1
-0.7951415,-0.023545453,-0.8821337,-0.95681024,-0.52594393,-0.8295574,-0.8678775,1.7604945,0.7984704,-0.699556,-1.9929345,2.6025467,-0.4932882,0.32208723,-0.3097563,-1
-0.25538576,0.21696076,1.128142,2.7505984,0.26710856,1.9678578,0.8195404,0.45560214,-1.1424735,0.89862734,-2.2092543,1.5926946,-0.25736642,0.4988208,-0.2886851,-1
0.25955805,0.23049591,1.0304167,-1.6373848,0.056187134,0.4164088,-0.5525406,0.6293443,0.6959516,1.7249271,0.16504282,-1.6014154,-0.6208681,0.8636952,-0.7091679,-1
-1.5745791,0.046111077,-0.29852635,-0.40090644,2.2845902,1.6081318,1.0819602,-0.78045076,0.5942979,-1.3114682,0.7304222,0.7885146,2.618695,0.24757488,0.115595214,-1
0.4417325,-1.1537969,-2.0697942,-0.06318986,-0.49172553,-0.9254758,0.29664576,-0.37661776,0.98864764,0.1991024,0.03102058,-0.34380987,1.4301999,0.7810639,0.14799134,-1
-0.31075528,0.47976872,1.039258,-0.18374074,1.8420576,2.9715505,-0.07973412,0.48840305,0.91060907,-1.468205,1.0444195,0.3964276,0.43826085,0.5488884,-0.16400024,-1
